Timestamp,TimeDelta,AddrMode,DevAddr,PacketInformation,CommandId,Status,Description
23-01-04 11:57:12:615584,0,,,55 00 40 00 02 42 00 00 aa ,ZBHCI_CMD_NODES_JOINED_GET_REQ,,start_idx: 0x0
23-01-04 11:57:12:632585,0.017001,,,55 80 00 00 04 c4 00 40 00 00 aa ,ZBHCI_CMD_ACKNOWLEDGE,ZBHCI_MSG_STATUS_SUCCESS,	msgtype:0x40 status:0x0(ZBHCI_MSG_STATUS_SUCCESS)
23-01-04 11:57:12:722584,0.089999,,,55 80 40 00 06 c6 00 00 00 00 00 00 aa ,ZBHCI_CMD_NODES_JOINED_GET_RSP,ZBHCI_MSG_STATUS_SUCCESS,total_cnt:0x0 start_idx:0x0 list_count:0x0 status:0x0(ZBHCI_MSG_STATUS_SUCCESS)
23-01-04 11:57:24:389753,11.667169,,,55 00 07 00 01 11 17 aa ,ZBHCI_CMD_BDB_CHANNEL_SET,,channel: 23
23-01-04 11:57:24:396752,0.006999,,,55 80 00 00 04 83 00 07 00 00 aa ,ZBHCI_CMD_ACKNOWLEDGE,ZBHCI_MSG_STATUS_SUCCESS,	msgtype:0x7 status:0x0(ZBHCI_MSG_STATUS_SUCCESS)
23-01-04 11:57:28:858752,4.462,,,55 00 07 00 01 11 17 aa ,ZBHCI_CMD_BDB_CHANNEL_SET,,channel: 23
23-01-04 11:57:28:871754,0.013002,,,55 80 00 00 04 83 00 07 00 00 aa ,ZBHCI_CMD_ACKNOWLEDGE,ZBHCI_MSG_STATUS_SUCCESS,	msgtype:0x7 status:0x0(ZBHCI_MSG_STATUS_SUCCESS)
23-01-04 11:57:30:338754,1.467,,,55 00 07 00 01 11 17 aa ,ZBHCI_CMD_BDB_CHANNEL_SET,,channel: 23
23-01-04 11:57:30:351796,0.013042,,,55 80 00 00 04 83 00 07 00 00 aa ,ZBHCI_CMD_ACKNOWLEDGE,ZBHCI_MSG_STATUS_SUCCESS,	msgtype:0x7 status:0x0(ZBHCI_MSG_STATUS_SUCCESS)
23-01-04 11:57:37:124777,6.772981,,,55 00 07 00 01 11 17 aa ,ZBHCI_CMD_BDB_CHANNEL_SET,,channel: 23
23-01-04 11:57:37:136790,0.012013,,,55 80 00 00 04 83 00 07 00 00 aa ,ZBHCI_CMD_ACKNOWLEDGE,ZBHCI_MSG_STATUS_SUCCESS,	msgtype:0x7 status:0x0(ZBHCI_MSG_STATUS_SUCCESS)
23-01-04 11:57:37:924753,0.787963,,,55 00 07 00 01 11 17 aa ,ZBHCI_CMD_BDB_CHANNEL_SET,,channel: 23
23-01-04 11:57:37:931776,0.007023,,,55 80 00 00 04 83 00 07 00 00 aa ,ZBHCI_CMD_ACKNOWLEDGE,ZBHCI_MSG_STATUS_SUCCESS,	msgtype:0x7 status:0x0(ZBHCI_MSG_STATUS_SUCCESS)
23-01-04 12:13:24:549492,946.617716,,,55 00 40 00 02 42 00 00 aa ,ZBHCI_CMD_NODES_JOINED_GET_REQ,,start_idx: 0x0
23-01-04 12:13:24:559522,0.01003,,,55 80 00 00 04 c4 00 40 00 00 aa ,ZBHCI_CMD_ACKNOWLEDGE,ZBHCI_MSG_STATUS_SUCCESS,	msgtype:0x40 status:0x0(ZBHCI_MSG_STATUS_SUCCESS)
23-01-04 12:13:24:659845,0.100323,,,55 80 40 00 06 c6 00 00 00 00 00 00 aa ,ZBHCI_CMD_NODES_JOINED_GET_RSP,ZBHCI_MSG_STATUS_SUCCESS,total_cnt:0x0 start_idx:0x0 list_count:0x0 status:0x0(ZBHCI_MSG_STATUS_SUCCESS)
23-01-04 12:13:27:315828,2.655983,,,55 00 07 00 01 11 17 aa ,ZBHCI_CMD_BDB_CHANNEL_SET,,channel: 23
23-01-04 12:13:27:319890,0.004062,,,55 80 00 00 04 83 00 07 00 00 aa ,ZBHCI_CMD_ACKNOWLEDGE,ZBHCI_MSG_STATUS_SUCCESS,	msgtype:0x7 status:0x0(ZBHCI_MSG_STATUS_SUCCESS)
23-01-04 12:13:37:514117,10.194227,0x02,0xfffc,55 00 34 00 04 cd ff fc ff 01 aa ,ZBHCI_CMD_MGMT_PERMIT_JOIN_REQ,,duration: 0xff (s) tc_significance: 0x1
23-01-04 12:13:37:524926,0.010809,,,55 80 00 00 04 b0 00 34 00 00 aa ,ZBHCI_CMD_ACKNOWLEDGE,ZBHCI_MSG_STATUS_SUCCESS,	msgtype:0x34 status:0x0(ZBHCI_MSG_STATUS_SUCCESS)
23-01-04 12:13:39:074011,1.549085,0x02,0xfffc,55 00 34 00 04 cd ff fc ff 01 aa ,ZBHCI_CMD_MGMT_PERMIT_JOIN_REQ,,duration: 0xff (s) tc_significance: 0x1
23-01-04 12:13:39:080013,0.006002,,,55 80 00 00 04 b0 00 34 00 00 aa ,ZBHCI_CMD_ACKNOWLEDGE,ZBHCI_MSG_STATUS_SUCCESS,	msgtype:0x34 status:0x0(ZBHCI_MSG_STATUS_SUCCESS)
23-01-04 12:13:48:852557,9.772544,,,55 00 0a 00 01 48 43 aa ,ZBHCI_CMD_BDB_TX_POWER_SET,,tx_power: 0x43
23-01-04 12:13:48:856572,0.004015,,,55 80 00 00 04 8e 00 0a 00 00 aa ,ZBHCI_CMD_ACKNOWLEDGE,ZBHCI_MSG_STATUS_SUCCESS,	msgtype:0xa status:0x0(ZBHCI_MSG_STATUS_SUCCESS)
23-01-04 12:14:35:133889,46.277317,,,55 00 0a 00 01 48 43 aa ,ZBHCI_CMD_BDB_TX_POWER_SET,,tx_power: 0x43
23-01-04 12:14:35:145038,0.011149,,,55 80 00 00 04 8e 00 0a 00 00 aa ,ZBHCI_CMD_ACKNOWLEDGE,ZBHCI_MSG_STATUS_SUCCESS,	msgtype:0xa status:0x0(ZBHCI_MSG_STATUS_SUCCESS)
